NCM,NCM_DESCRICAO_ORIGINAL,NCM_DESCRICAO_HIERARQUICA
30039065,Nitrovin; moxidectina,Produtos farmacêuticos - Nitrovin; moxidectina
30039066,Ácido clodrônico ou seu sal dissódico; estreptozocina; fotemustina,Ácido clodrônico ou seu sal dissódico; estreptozocina; fotemustina
30039067,Carbocisteína; sulfiram,Produtos farmacêuticos - Carbocisteína; sulfiram
30039069,Outros,Produtos farmacêuticos - Outros
30039071,"Terfenadina; talniflumato; malato ácido de cleboprida; econazol ou seu nitrato; nitrato de
isoconazol; flubendazol; cloridrato de mepivacaína; trimetoprima; cloridrato de bupivacaína","Terfenadina; talniflumato; malato ácido de cleboprida; econazol ou seu nitrato; nitrato de
isoconazol; flubendazol; cloridrato de mepivacaína; trimetoprima; cloridrato de bupivacaína"
30039072,"Cloridrato de loperamida; fembendazol; ketorolac trometamina; nifedipina; nimodipina;
nitrendipina","Cloridrato de loperamida; fembendazol; ketorolac trometamina; nifedipina; nimodipina;
nitrendipina"
30039073,"Albendazol ou seu sulfóxido; mebendazol; 6-mercaptopurina; metilsulfato de amezínio;
oxifendazol; praziquantel","Albendazol ou seu sulfóxido; mebendazol; 6-mercaptopurina; metilsulfato de amezínio;
oxifendazol; praziquantel"
30039074,Alprazolam; bromazepam; clordiazepóxido; cloridrato de petidina; diazepam; droperidol; mazindol; triazolam,Alprazolam; bromazepam; clordiazepóxido; cloridrato de petidina; diazepam; droperidol; mazindol; triazolam
30039075,Benzetimida ou seu cloridrato; fenitoína ou seu sal sódico; isoniazida; pirazinamida,Benzetimida ou seu cloridrato; fenitoína ou seu sal sódico; isoniazida; pirazinamida
30039076,"Ácido 2-(2-metil-3-cloroanilina)nicotínico ou seu sal de lisina; metronidazol ou seus sais;
azatioprina; nitrato de miconazol","Ácido 2-(2-metil-3-cloroanilina)nicotínico ou seu sal de lisina; metronidazol ou seus sais;
azatioprina; nitrato de miconazol"
30039077,Enrofloxacina; maleato de enalapril; maleato de pirilamina; nicarbazina; norfloxacina; sais de piperazina,Enrofloxacina; maleato de enalapril; maleato de pirilamina; nicarbazina; norfloxacina; sais de piperazina
30039078,Altretamina; bortezomib; cloridrato de erlotinibe; dacarbazina; disoproxilfumarato de tenofovir; enfuvirtida; fluspirileno; letrozol; lopinavir; mesilato de imatinib; nelfinavir ou seu mesilato; nevirapine; pemetrexed; saquinavir; sulfato de abacavir; sulfato de atazanavir; sulfato de indinavir; temozolomida; tioguanina; tiopental sódico; tosilato de niraparibe; trietilenotiofosforamida; trimetrexato; uracil e tegafur; verteporfin,Altretamina; bortezomib; cloridrato de erlotinibe; dacarbazina; disoproxilfumarato de tenofovir; enfuvirtida; fluspirileno; letrozol; lopinavir; mesilato de imatinib; nelfinavir ou seu mesilato; nevirapine; pemetrexed; saquinavir; sulfato de abacavir; sulfato de atazanavir; sulfato de indinavir; temozolomida; tioguanina; tiopental sódico; tosilato de niraparibe; trietilenotiofosforamida; trimetrexato; uracil e tegafur; verteporfin
30039079,Outros,Produtos farmacêuticos - Outros
30039081,Levamisol ou seus sais; tetramisol,Produtos farmacêuticos - Levamisol ou seus sais; tetramisol
30039082,Sulfadiazina ou seu sal sódico; sulfametoxazol,Produtos farmacêuticos - Sulfadiazina ou seu sal sódico; sulfametoxazol
30039083,Cloxazolam; ketazolam; piroxicam; tenoxicam,Produtos farmacêuticos - Cloxazolam; ketazolam; piroxicam; tenoxicam
30039084,Ftalilsulfatiazol; inosina,Produtos farmacêuticos - Ftalilsulfatiazol; inosina
30039085,Enantato de flufenazina; prometazina; gliburida; rutosídio; deslanosídio,Enantato de flufenazina; prometazina; gliburida; rutosídio; deslanosídio
30039086,Clortalidona; furosemida,Produtos farmacêuticos - Clortalidona; furosemida
30039087,Cloridrato de tizanidina; cetoconazol; furazolidona,Cloridrato de tizanidina; cetoconazol; furazolidona
30039088,"Amprenavir; aprepitanto; delavirdina ou seu mesilato; efavirenz; emtricitabina; etopósido;
everolimus; fosamprenavir cálcico; fosfato de fludarabina; gencitabina ou seu cloridrato;
raltitrexida; ritonavir; sirolimus; tacrolimus; temsirolimus; tenipósido; tipranavir","Amprenavir; aprepitanto; delavirdina ou seu mesilato; efavirenz; emtricitabina; etopósido;
everolimus; fosamprenavir cálcico; fosfato de fludarabina; gencitabina ou seu cloridrato;
raltitrexida; ritonavir; sirolimus; tacrolimus; temsirolimus; tenipósido; tipranavir"
30039089,Outros,Produtos farmacêuticos - Outros
30039091,Extrato de pólen,Produtos farmacêuticos - Extrato de pólen
30039092,Crisarobina; disofenol,Produtos farmacêuticos - Crisarobina; disofenol
30039093,Diclofenaco resinato,Produtos farmacêuticos - Diclofenaco resinato
30039094,Silimarina,Produtos farmacêuticos - Silimarina
30039095,Bussulfano; dexormaplatina; dietilestilbestrol ou seu dipropionato; enloplatina; iproplatina; lobaplatina; miboplatina; miltefosina; mitotano; ormaplatina; procarbazina ou seu cloridrato; propofol; sebriplatina; zeniplatina,Bussulfano; dexormaplatina; dietilestilbestrol ou seu dipropionato; enloplatina; iproplatina; lobaplatina; miboplatina; miltefosina; mitotano; ormaplatina; procarbazina ou seu cloridrato; propofol; sebriplatina; zeniplatina
30039096,Complexo de ferro dextrana,Produtos farmacêuticos - Complexo de ferro dextrana
30039097,Sevoflurano,Produtos farmacêuticos - Sevoflurano
30039099,Outros,Produtos farmacêuticos - Outros
30041011,Ampicilina ou seus sais,Produtos farmacêuticos - Ampicilina ou seus sais
30041012,Amoxicilina ou seus sais,Produtos farmacêuticos - Amoxicilina ou seus sais
30041013,Penicilina G benzatínica,Produtos farmacêuticos - Penicilina G benzatínica
30041014,Penicilina G potássica,Produtos farmacêuticos - Penicilina G potássica
30041015,Penicilina G procaínica,Produtos farmacêuticos - Penicilina G procaínica
30041019,Outros,Produtos farmacêuticos - Outros
30041020,Que contenham estreptomicinas ou seus derivados,Produtos farmacêuticos - Que contenham estreptomicinas ou seus derivados
30042011,"Cloranfenicol, seu palmitato, seu succinato ou seu hemissuccinato","Cloranfenicol, seu palmitato, seu succinato ou seu hemissuccinato"
30042019,Outros,Produtos farmacêuticos - Outros
30042021,Eritromicina ou seus sais,Produtos farmacêuticos - Eritromicina ou seus sais
30042029,Outros,Produtos farmacêuticos - Outros
30042031,Rifamicina SV sódica,Produtos farmacêuticos - Rifamicina SV sódica
30042032,Rifampicina,Produtos farmacêuticos - Rifampicina
30042039,Outros,Produtos farmacêuticos - Outros
30042041,Cloridrato de lincomicina,Produtos farmacêuticos - Cloridrato de lincomicina
30042049,Outros,Produtos farmacêuticos - Outros
30042051,Cefalotina sódica,Produtos farmacêuticos - Cefalotina sódica
30042052,Cefaclor ou cefalexina monoidratados,Produtos farmacêuticos - Cefaclor ou cefalexina monoidratados
30042059,Outros,Produtos farmacêuticos - Outros
30042061,Sulfato de gentamicina,Produtos farmacêuticos - Sulfato de gentamicina
30042062,Daunorubicina,Produtos farmacêuticos - Daunorubicina
30042063,Idarubicina; pirarubicina,Produtos farmacêuticos - Idarubicina; pirarubicina
30042069,Outros,Produtos farmacêuticos - Outros
30042071,Vancomicina,Produtos farmacêuticos - Vancomicina
30042072,Actinomicinas,Produtos farmacêuticos - Actinomicinas
30042073,Ciclosporina A,Produtos farmacêuticos - Ciclosporina A
30042079,Outros,Produtos farmacêuticos - Outros
30042091,Mitomicina,Produtos farmacêuticos - Mitomicina
30042092,Fumarato de tiamulina,Produtos farmacêuticos - Fumarato de tiamulina
30042093,Bleomicinas ou seus sais,Produtos farmacêuticos - Bleomicinas ou seus sais
30042094,Imipenem,Produtos farmacêuticos - Imipenem
30042095,Anfotericina B em lipossomas,Produtos farmacêuticos - Anfotericina B em lipossomas
30042099,Outros,Produtos farmacêuticos - Outros
30043100,-- Que contenham insulina,Produtos farmacêuticos - Que contenham insulina
30043210,Hormônios corticosteroides,Produtos farmacêuticos - Hormônios corticosteroides
30043220,Espironolactona,Produtos farmacêuticos - Espironolactona
30043290,Outros,Produtos farmacêuticos - Outros
30043911,Somatotropina,Produtos farmacêuticos - Somatotropina
30043912,Gonadotropina coriônica (hCG),Gonadotropina coriônica (hCG)
30043913,Menotropinas,Produtos farmacêuticos - Menotropinas
30043914,Corticotropina (ACTH),Corticotropina (ACTH)
30043915,Gonadotropina sérica (PMSG),Gonadotropina sérica (PMSG)
30043916,Somatostatina ou seus sais,Produtos farmacêuticos - Somatostatina ou seus sais
30043917,Buserelina ou seu acetato,Produtos farmacêuticos - Buserelina ou seu acetato
30043918,Triptorelina ou seus sais,Produtos farmacêuticos - Triptorelina ou seus sais
30043919,Leuprolida ou seu acetato,Produtos farmacêuticos - Leuprolida ou seu acetato
30043921,LH-RH (gonadorelina),LH-RH (gonadorelina)
30043922,Oxitocina,Produtos farmacêuticos - Oxitocina
30043923,Sais de insulina,Produtos farmacêuticos - Sais de insulina
30043924,Timosinas,Produtos farmacêuticos - Timosinas
30043925,Calcitonina,Produtos farmacêuticos - Calcitonina
30043926,Octreotida,Produtos farmacêuticos - Octreotida
30043927,Goserelina ou seu acetato,Produtos farmacêuticos - Goserelina ou seu acetato
30043928,Nafarelina ou seu acetato,Produtos farmacêuticos - Nafarelina ou seu acetato
30043929,Outros,Produtos farmacêuticos - Outros
30043931,Hemissuccinato de estradiol,Produtos farmacêuticos - Hemissuccinato de estradiol
30043932,Fempropionato de estradiol,Produtos farmacêuticos - Fempropionato de estradiol
30043933,Estriol ou seu succinato,Produtos farmacêuticos - Estriol ou seu succinato
30043934,Alilestrenol,Produtos farmacêuticos - Alilestrenol
30043935,Linestrenol,Produtos farmacêuticos - Linestrenol
30043936,Acetato de megestrol; formestano; fulvestranto,Produtos farmacêuticos - Acetato de megestrol; formestano; fulvestranto
30043937,Desogestrel,Produtos farmacêuticos - Desogestrel
30043939,Outros,Produtos farmacêuticos - Outros
30043981,Levotiroxina sódica,Produtos farmacêuticos - Levotiroxina sódica
30043982,Liotironina sódica,Produtos farmacêuticos - Liotironina sódica
30043991,"Sal sódico ou éster metílico do ácido 9,11,15-triidroxi-16-(3-clorofenoxi)prosta-5,13-dien-1-oico (derivado da prostaglandina F2-alfa)","Sal sódico ou éster metílico do ácido 9,11,15-triidroxi-16-(3-clorofenoxi)prosta-5,13-dien-1-oico (derivado da prostaglandina F2-alfa)"
30043992,Tiratricol (triac) ou seu sal sódico,Tiratricol (triac) ou seu sal sódico
30043994,Exemestano,Produtos farmacêuticos - Exemestano
30043999,Outros,Produtos farmacêuticos - Outros
30044100,-- Que contenham efedrina ou seus sais,Produtos farmacêuticos - Que contenham efedrina ou seus sais
30044200,-- Que contenham pseudoefedrina (DCI) ou seus sais,Produtos farmacêuticos - Que contenham pseudoefedrina (DCI) ou seus sais
30044300,-- Que contenham norefedrina ou seus sais,Produtos farmacêuticos - Que contenham norefedrina ou seus sais
30044910,Vimblastina; vincristina; derivados destes produtos; topotecan ou seu cloridrato,Vimblastina; vincristina; derivados destes produtos; topotecan ou seu cloridrato
30044920,"Pilocarpina, seu nitrato ou seu cloridrato","Produtos farmacêuticos - Pilocarpina, seu nitrato ou seu cloridrato"
30044930,Metanossulfonato de di-hidroergocristina,Produtos farmacêuticos - Metanossulfonato de di-hidroergocristina
30044940,Codeína ou seus sais,Produtos farmacêuticos - Codeína ou seus sais
30044950,Granisetron; tropisetrona ou seu cloridrato,Produtos farmacêuticos - Granisetron; tropisetrona ou seu cloridrato
30044990,Outros,Produtos farmacêuticos - Outros
30045010,Folinato de cálcio (leucovorina),Folinato de cálcio (leucovorina)
30045020,Nicotinamida,Produtos farmacêuticos - Nicotinamida
30045030,Hidroxocobalamina ou seus sais; cianocobalamina,Produtos farmacêuticos - Hidroxocobalamina ou seus sais; cianocobalamina
30045040,"Vitamina A1 (retinol) ou seus derivados, exceto o ácido retinoico (tretinoína)","Vitamina A1 (retinol) ou seus derivados, exceto o ácido retinoico (tretinoína)"
30045050,D-Pantotenato de cálcio; vitamina D3 (colecalciferol),D-Pantotenato de cálcio; vitamina D3 (colecalciferol)
30045060,Ácido retinoico (tretinoína),Ácido retinoico (tretinoína)
30045090,Outros,Produtos farmacêuticos - Outros
30046000,"- Outros, que contenham princípios ativos antimaláricos (antipalúdicos) descritos na Nota de subposições 2 do presente Capítulo","Produtos farmacêuticos - Outros, que contenham princípios ativos antimaláricos (antipalúdicos) descritos na Nota de subposições 2 do presente Capítulo"
30049011,Estreptoquinase,Produtos farmacêuticos - Estreptoquinase
30049012,L-Asparaginase,Produtos farmacêuticos - L-Asparaginase
30049013,Deoxirribonuclease,Produtos farmacêuticos - Deoxirribonuclease
30049014,Idursulfase,Produtos farmacêuticos - Idursulfase
30049015,alfa-Agalsidase; alfavelaglicerase,Produtos farmacêuticos - alfa-Agalsidase; alfavelaglicerase
30049019,Outros,Produtos farmacêuticos - Outros
30049021,Permetrina; nitrato de propatila; benzoato de benzila; dioctilsulfossuccinato de sódio,Permetrina; nitrato de propatila; benzoato de benzila; dioctilsulfossuccinato de sódio
30049022,Ácido cólico; ácido deoxicólico; sal magnésico do ácido deidrocólico,Ácido cólico; ácido deoxicólico; sal magnésico do ácido deidrocólico
30049023,"Ácido glucônico, seus sais ou seus ésteres","Produtos farmacêuticos - Ácido glucônico, seus sais ou seus ésteres"
30049024,Ácido o-acetilsalicílico; o-acetilsalicilato de alumínio; salicilato de metila; diclorvós,Ácido o-acetilsalicílico; o-acetilsalicilato de alumínio; salicilato de metila; diclorvós
30049025,Lactofosfato de cálcio,Produtos farmacêuticos - Lactofosfato de cálcio
30049026,"Ácido láctico, seus sais ou seus ésteres; ácido 4-(4-hidroxifenoxi)-3,5-di-iodofenilacético; ácido fumárico, seus sais ou seus ésteres","Ácido láctico, seus sais ou seus ésteres; ácido 4-(4-hidroxifenoxi)-3,5-di-iodofenilacético; ácido fumárico, seus sais ou seus ésteres"
30049027,"Nitroglicerina, destinada a ser administrada por via percutânea","Nitroglicerina, destinada a ser administrada por via percutânea"
30049028,Etretinato; fosfestrol ou seus sais de di ou tetrassódio,Etretinato; fosfestrol ou seus sais de di ou tetrassódio
30049029,Outros,Produtos farmacêuticos - Outros
30049031,Sulfato de tranilcipromina; dietilpropiona,Produtos farmacêuticos - Sulfato de tranilcipromina; dietilpropiona
30049032,Cloridrato de ketamina,Produtos farmacêuticos - Cloridrato de ketamina
30049033,Clembuterol ou seu cloridrato,Produtos farmacêuticos - Clembuterol ou seu cloridrato
30049034,Tamoxifen ou seu citrato,Produtos farmacêuticos - Tamoxifen ou seu citrato
30049035,Levodopa; alfa-metildopa,Produtos farmacêuticos - Levodopa; alfa-metildopa
30049036,Cloridrato de fenilefrina; mirtecaína; propranolol ou seus sais,Cloridrato de fenilefrina; mirtecaína; propranolol ou seus sais
30049037,Diclofenaco de sódio; diclofenaco de potássio; diclofenaco de dietilamônio,Diclofenaco de sódio; diclofenaco de potássio; diclofenaco de dietilamônio
30049038,Clorambucil; clormetina (DCI) ou seu cloridrato; melfalano; toremifene ou seu citrato,Clorambucil; clormetina (DCI) ou seu cloridrato; melfalano; toremifene ou seu citrato
30049039,Outros,Produtos farmacêuticos - Outros
30049041,Metoclopramida ou seu cloridrato; closantel,Produtos farmacêuticos - Metoclopramida ou seu cloridrato; closantel
30049042,Atenolol; prilocaína ou seu cloridrato; talidomida,Produtos farmacêuticos - Atenolol; prilocaína ou seu cloridrato; talidomida
30049043,Lidocaína ou seu cloridrato; flutamida,Produtos farmacêuticos - Lidocaína ou seu cloridrato; flutamida
30049044,Femproporex,Produtos farmacêuticos - Femproporex
30049045,Paracetamol; bromoprida,Produtos farmacêuticos - Paracetamol; bromoprida
30049046,Amitraz; cipermetrina,Produtos farmacêuticos - Amitraz; cipermetrina
30049047,Clorexidina ou seus sais; isetionato de pentamidina,Clorexidina ou seus sais; isetionato de pentamidina
30049048,"Aminoglutetimida; carmustina; deferoxamina (desferrioxamina B) ou seus sais, derivados destes produtos; lomustina","Aminoglutetimida; carmustina; deferoxamina (desferrioxamina B) ou seus sais, derivados destes produtos; lomustina"
30049049,Outros,Produtos farmacêuticos - Outros
30049051,Quercetina,Produtos farmacêuticos - Quercetina
30049052,Tiaprida,Produtos farmacêuticos - Tiaprida
30049053,Etidronato dissódico,Produtos farmacêuticos - Etidronato dissódico
30049054,Cloridrato de amiodarona,Produtos farmacêuticos - Cloridrato de amiodarona
30049055,Nitrovin; moxidectina,Produtos farmacêuticos - Nitrovin; moxidectina
30049057,Carbocisteína; sulfiram,Produtos farmacêuticos - Carbocisteína; sulfiram
30049058,Ácido clodrônico ou seu sal dissódico; estreptozocina; fotemustina,Ácido clodrônico ou seu sal dissódico; estreptozocina; fotemustina
30049059,Outros,Produtos farmacêuticos - Outros
30049061,"Terfenadina; talniflumato; malato ácido de cleboprida; econazol ou seu nitrato; nitrato de
isoconazol; flubendazol; cloridrato de mepivacaína; trimetoprima; cloridrato de bupivacaína","Terfenadina; talniflumato; malato ácido de cleboprida; econazol ou seu nitrato; nitrato de
isoconazol; flubendazol; cloridrato de mepivacaína; trimetoprima; cloridrato de bupivacaína"
30049062,"Cloridrato de loperamida; fembendazol; ketorolac trometamina; nifedipina nimodipina;
nitrendipina","Cloridrato de loperamida; fembendazol; ketorolac trometamina; nifedipina nimodipina;
nitrendipina"
30049063,"Albendazol ou seu sulfóxido; mebendazol; 6-mercaptopurina; metilsulfato de amezínio;
oxifendazol; praziquantel","Albendazol ou seu sulfóxido; mebendazol; 6-mercaptopurina; metilsulfato de amezínio;
oxifendazol; praziquantel"
30049064,Alprazolam; bromazepam; clordiazepóxido; cloridrato de petidina; diazepam; droperidol; mazindol; triazolam,Alprazolam; bromazepam; clordiazepóxido; cloridrato de petidina; diazepam; droperidol; mazindol; triazolam
30049065,Benzetimida ou seu cloridrato; fenitoína ou seu sal sódico; isoniazida; pirazinamida,Benzetimida ou seu cloridrato; fenitoína ou seu sal sódico; isoniazida; pirazinamida
30049066,"Ácido 2-(2-metil-3-cloroanilina)nicotínico ou seu sal de lisina; metronidazol ou seus sais;
azatioprina; nitrato de miconazol","Ácido 2-(2-metil-3-cloroanilina)nicotínico ou seu sal de lisina; metronidazol ou seus sais;
azatioprina; nitrato de miconazol"
30049067,Enrofloxacina; maleato de enalapril; maleato de pirilamina; nicarbazina; norfloxacina; sais de piperazina,Enrofloxacina; maleato de enalapril; maleato de pirilamina; nicarbazina; norfloxacina; sais de piperazina
30049068,Altretamina; bortezomib; cloridrato de erlotinibe; dacarbazina; disoproxilfumarato de tenofovir; enfuvirtida; fluspirileno; letrozol; lopinavir; mesilato de imatinib; nelfinavir ou seu mesilato; nevirapine; pemetrexed; saquinavir; sulfato de abacavir; sulfato de atazanavir; sulfato de indinavir; temozolomida; tioguanina; tiopental sódico; tosilato de niraparibe; trietilenotiofosforamida; trimetrexato; uracil e tegafur; verteporfin,Altretamina; bortezomib; cloridrato de erlotinibe; dacarbazina; disoproxilfumarato de tenofovir; enfuvirtida; fluspirileno; letrozol; lopinavir; mesilato de imatinib; nelfinavir ou seu mesilato; nevirapine; pemetrexed; saquinavir; sulfato de abacavir; sulfato de atazanavir; sulfato de indinavir; temozolomida; tioguanina; tiopental sódico; tosilato de niraparibe; trietilenotiofosforamida; trimetrexato; uracil e tegafur; verteporfin
30049069,Outros,Produtos farmacêuticos - Outros
30049071,Levamisol ou seus sais; tetramisol,Produtos farmacêuticos - Levamisol ou seus sais; tetramisol
30049072,Sulfadiazina ou seu sal sódico; sulfametoxazol,Produtos farmacêuticos - Sulfadiazina ou seu sal sódico; sulfametoxazol
30049073,Cloxazolam; ketazolam; piroxicam; tenoxicam,Produtos farmacêuticos - Cloxazolam; ketazolam; piroxicam; tenoxicam
30049074,Ftalilsulfatiazol; inosina,Produtos farmacêuticos - Ftalilsulfatiazol; inosina
30049075,Enantato de flufenazina; prometazina; gliburida; rutosídio; deslanosídio,Enantato de flufenazina; prometazina; gliburida; rutosídio; deslanosídio
30049076,Clortalidona; furosemida,Produtos farmacêuticos - Clortalidona; furosemida
30049077,Cloridrato de tizanidina; cetoconazol; furazolidona,Cloridrato de tizanidina; cetoconazol; furazolidona
30049078,"Amprenavir; aprepitanto; delavirdina ou seu mesilato; efavirenz; emtricitabina; etopósido;
everolimus; fosamprenavir cálcico; fosfato de fludarabina; gencitabina ou seu cloridrato;
raltitrexida; ritonavir; sirolimus; tacrolimus; temsirolimus; tenipósido; tipranavir","Amprenavir; aprepitanto; delavirdina ou seu mesilato; efavirenz; emtricitabina; etopósido;
everolimus; fosamprenavir cálcico; fosfato de fludarabina; gencitabina ou seu cloridrato;
raltitrexida; ritonavir; sirolimus; tacrolimus; temsirolimus; tenipósido; tipranavir"
30049079,Outros,Produtos farmacêuticos - Outros
30049091,Extrato de pólen,Produtos farmacêuticos - Extrato de pólen
30049092,Crisarobina; disofenol,Produtos farmacêuticos - Crisarobina; disofenol
30049093,Diclofenaco resinato,Produtos farmacêuticos - Diclofenaco resinato
30049094,Silimarina,Produtos farmacêuticos - Silimarina
30049095,Bussulfano; dexormaplatina; dietilestilbestrol ou seu dipropionato; enloplatina; iproplatina; lobaplatina; miboplatina; miltefosina; mitotano; ormaplatina; procarbazina ou seu cloridrato; propofol; sebriplatina; zeniplatina,Bussulfano; dexormaplatina; dietilestilbestrol ou seu dipropionato; enloplatina; iproplatina; lobaplatina; miboplatina; miltefosina; mitotano; ormaplatina; procarbazina ou seu cloridrato; propofol; sebriplatina; zeniplatina
30049096,Complexo de ferro dextrana,Produtos farmacêuticos - Complexo de ferro dextrana
30049097,Sevoflurano,Produtos farmacêuticos - Sevoflurano
30049098,"Regenerador de cartilagem, constituído por colágeno moldado, absorvível","Regenerador de cartilagem, constituído por colágeno moldado, absorvível"
30049099,Outros,Produtos farmacêuticos - Outros
30051010,Impregnados ou recobertos de substâncias farmacêuticas,Impregnados ou recobertos de substâncias farmacêuticas
30051020,Curativos (pensos) cirúrgicos que permitem a observação direta de feridas,Curativos (pensos) cirúrgicos que permitem a observação direta de feridas
30051030,Curativos (pensos) impermeáveis aplicáveis sobre mucosas,Curativos (pensos) impermeáveis aplicáveis sobre mucosas
30051040,Curativos (pensos) com obturador próprios para colostomia (cones obturadores),Curativos (pensos) com obturador próprios para colostomia (cones obturadores)
30051050,Curativos (pensos) com fecho de correr próprios para fechar ferimentos,Curativos (pensos) com fecho de correr próprios para fechar ferimentos
30051090,Outros,Produtos farmacêuticos - Outros
30059011,De ácido poliglicólico,Produtos farmacêuticos - De ácido poliglicólico
30059012,De copolímeros de ácido glicólico e ácido láctico,Produtos farmacêuticos - De copolímeros de ácido glicólico e ácido láctico
30059019,Outros,Produtos farmacêuticos - Outros
30059020,"Campos cirúrgicos, de falso tecido (tecido não tecido)","Campos cirúrgicos, de falso tecido (tecido não tecido)"
30059090,Outros,Produtos farmacêuticos - Outros
30061010,"Materiais para suturas cirúrgicas, de polidioxanona","Materiais para suturas cirúrgicas, de polidioxanona"
30061020,"Materiais para suturas cirúrgicas, de aço inoxidável","Materiais para suturas cirúrgicas, de aço inoxidável"
30061090,Outros,Produtos farmacêuticos - Outros
30063011,À base de ioexol,Produtos farmacêuticos - À base de ioexol
30063012,À base de iocarmato de dimeglumina ou de iodixanol,Produtos farmacêuticos - À base de iocarmato de dimeglumina ou de iodixanol
30063013,À base de iopamidol,Produtos farmacêuticos - À base de iopamidol
30063015,À base de dióxido de zircônio e sulfato de gentamicina,À base de dióxido de zircônio e sulfato de gentamicina
30063016,À base de diatrizoato de sódio ou de meglumina,Produtos farmacêuticos - À base de diatrizoato de sódio ou de meglumina
30063017,"À base de iomeprol, iopromida ou de ioversol","Produtos farmacêuticos - À base de iomeprol, iopromida ou de ioversol"
30063018,"À base de iotalamato de sódio, de iotalamato de meglumina ou de suas misturas","À base de iotalamato de sódio, de iotalamato de meglumina ou de suas misturas"
30063019,Outras,Produtos farmacêuticos - Outras
30063021,À base de somatoliberina,Produtos farmacêuticos - À base de somatoliberina
30063029,Outros,Produtos farmacêuticos - Outros
30064011,Cimentos,Produtos farmacêuticos - Cimentos
30064012,Outros produtos para obturação dentária,Produtos farmacêuticos - Outros produtos para obturação dentária
30064020,Cimentos para reconstituição óssea,Produtos farmacêuticos - Cimentos para reconstituição óssea
30065000,"- Estojos e caixas de primeiros socorros, guarnecidos","Produtos farmacêuticos - Estojos e caixas de primeiros socorros, guarnecidos"
30066000,"- Preparações químicas contraceptivas à base de hormônios, de outros produtos da posição 29.37 ou de espermicidas","Produtos farmacêuticos - Preparações químicas contraceptivas à base de hormônios, de outros produtos da posição 29.37 ou de espermicidas"
30067000,- Preparações apresentadas sob a forma de gel concebidas para uso em medicina humana ou veterinária como lubrificante para determinadas partes do corpo em intervenções cirúrgicas ou exames médicos ou como meio de ligação entre o corpo e os instrumentos médicos,Produtos farmacêuticos - Preparações apresentadas sob a forma de gel concebidas para uso em medicina humana ou veterinária como lubrificante para determinadas partes do corpo em intervenções cirúrgicas ou exames médicos ou como meio de ligação entre o corpo e os instrumentos médicos
30069110,"Bolsas para colostomia, ileostomia e urostomia","Produtos farmacêuticos - Bolsas para colostomia, ileostomia e urostomia"
30069190,Outros,Produtos farmacêuticos - Outros
30069200,-- Resíduos farmacêuticos,Produtos farmacêuticos - Resíduos farmacêuticos
30069300,"-- Placebos e estojos para ensaios clínicos cegos (ou duplo-cegos) destinados a um ensaio clínico reconhecido, apresentados em doses","Produtos farmacêuticos - Placebos e estojos para ensaios clínicos cegos (ou duplo-cegos) destinados a um ensaio clínico reconhecido, apresentados em doses"
31010000,"Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamente; adubos (fertilizantes) resultantes da mistura ou do tratamento químico de produtos de origem animal ou vegetal.","Adubos (fertilizantes) de origem animal ou vegetal, mesmo misturados entre si ou tratados quimicamente; adubos (fertilizantes) resultantes da mistura ou do tratamento químico de produtos de origem animal ou vegetal."
31021010,"Que contenha, em peso, mais de 45 % de nitrogênio (azoto), calculado sobre o produto anidro no estado seco","Que contenha, em peso, mais de 45 % de nitrogênio (azoto), calculado sobre o produto anidro no estado seco"
31021090,Outra,Adubos (fertilizantes) - Outra
31022100,-- Sulfato de amônio,Adubos (fertilizantes) - Sulfato de amônio
31022910,Sulfonitrato de amônio,Adubos (fertilizantes) - Sulfonitrato de amônio
31022990,Outros,Adubos (fertilizantes) - Outros
31023000,"- Nitrato de amônio, mesmo em solução aquosa","Adubos (fertilizantes) - Nitrato de amônio, mesmo em solução aquosa"
31024000,- Misturas de nitrato de amônio com carbonato de cálcio ou com outras matérias inorgânicas desprovidas de poder fertilizante,Adubos (fertilizantes) - Misturas de nitrato de amônio com carbonato de cálcio ou com outras matérias inorgânicas desprovidas de poder fertilizante
31025011,"Que contenha, em peso, 16,3 % ou menos de nitrogênio (azoto)","Que contenha, em peso, 16,3 % ou menos de nitrogênio (azoto)"
31025019,Outro,Adubos (fertilizantes) - Outro
31025090,Outro,Adubos (fertilizantes) - Outro
31025090,"Com teor de nitrogênio superior a 16,3% em peso","Adubos (fertilizantes) - Com teor de nitrogênio superior a 16,3% em peso"
31026000,- Sais duplos e misturas de nitrato de cálcio e de nitrato de amônio,Adubos (fertilizantes) - Sais duplos e misturas de nitrato de cálcio e de nitrato de amônio
31028000,- Misturas de ureia com nitrato de amônio em soluções aquosas ou amoniacais,Adubos (fertilizantes) - Misturas de ureia com nitrato de amônio em soluções aquosas ou amoniacais
31029000,"- Outros, incluindo as misturas não mencionadas nas subposições precedentes","Adubos (fertilizantes) - Outros, incluindo as misturas não mencionadas nas subposições precedentes"
31029000,Cianamida cálcica com teor de nitrogênio superior a 25% em peso,Cianamida cálcica com teor de nitrogênio superior a 25% em peso
