NCM,NCM_DESCRICAO_ORIGINAL,NCM_DESCRICAO_HIERARQUICA
02032900,-- Outras,"Carnes e miudezas - Carnes de suínos frescas, refrigeradas ou congeladas - Outras"
02041000,"- Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas","Carnes e miudezas - Carnes de ovinos ou caprinos frescas, refrigeradas ou congeladas - Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas"
02042100,-- Carcaças e meias-carcaças,"Carnes e miudezas - Carnes de ovinos ou caprinos frescas, refrigeradas ou congeladas - Carcaças e meias-carcaças"
02042200,-- Outras peças não desossadas,"Carnes e miudezas - Carnes de ovinos ou caprinos frescas, refrigeradas ou congeladas - Outras peças não desossadas"
02042300,-- Desossadas,"Carnes e miudezas - Carnes de ovinos ou caprinos frescas, refrigeradas ou congeladas - Desossadas"
02043000,"- Carcaças e meias-carcaças de cordeiro, congeladas","Carnes e miudezas - Carnes de ovinos ou caprinos frescas, refrigeradas ou congeladas - Carcaças e meias-carcaças de cordeiro, congeladas"
02044100,-- Carcaças e meias-carcaças,"Carnes e miudezas - Carnes de ovinos ou caprinos frescas, refrigeradas ou congeladas - Carcaças e meias-carcaças"
02044200,-- Outras peças não desossadas,"Carnes e miudezas - Carnes de ovinos ou caprinos frescas, refrigeradas ou congeladas - Outras peças não desossadas"
02044300,-- Desossadas,"Carnes e miudezas - Carnes de ovinos ou caprinos frescas, refrigeradas ou congeladas - Desossadas"
02045000,- Carnes de animais da espécie caprina,"Carnes e miudezas - Carnes de ovinos ou caprinos frescas, refrigeradas ou congeladas - Carnes de animais da espécie caprina"
02050000,"Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas.","Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas."
02061000,"- Da espécie bovina, frescas ou refrigeradas","Carnes e miudezas - Miudezas comestíveis de bovinos, suínos, ovinos, caprinos, cavalos, asininos ou muares - Da espécie bovina, frescas ou refrigeradas"
02062100,-- Línguas,"Carnes e miudezas - Miudezas comestíveis de bovinos, suínos, ovinos, caprinos, cavalos, asininos ou muares - Línguas"
02062200,-- Fígados,"Carnes e miudezas - Miudezas comestíveis de bovinos, suínos, ovinos, caprinos, cavalos, asininos ou muares - Fígados"
02062910,Rabos,"Carnes e miudezas - Miudezas comestíveis de bovinos, suínos, ovinos, caprinos, cavalos, asininos ou muares - Rabos"
02062990,Outros,"Carnes e miudezas - Miudezas comestíveis de bovinos, suínos, ovinos, caprinos, cavalos, asininos ou muares - Outros"
